name: AOE II: The Conquerors Europe 1v1 Room v1.0C id:65543   sid:6   server:203.117.124.16  gid:1021  game:AOE II        ml:1  
name: AOE II: The Conquerors ASEAN 1v1 Room     id:65544   sid:1   server:203.117.124.14  gid:1021  game:AOE II        ml:1  
name: AOE II: The Conquerors International 1v1 Room id:65545   sid:1   server:203.117.124.14  gid:1021  game:AOE II        ml:1  
name: AOE2: The Conquerors Brazil Room          id:65546   sid:1   server:203.117.124.14  gid:1021  game:AOE II        ml:1  
name: AOE II: The Conquerors Europe 1v1 Room v1.0C id:65547   sid:1   server:203.117.124.14  gid:1021  game:AOE II        ml:1  
name: AOE: The Rise of Rome International 1v1 Room id:65548   sid:1   server:203.117.124.14  gid:1020  game:AOE I         ml:1  
name: AOE: The Rise of Rome ASEAN 1v1 Room      id:65549   sid:1   server:203.117.124.14  gid:1020  game:AOE I         ml:1  
name: AOE1: The Rise of Rome Brazil Room        id:65550   sid:1   server:203.117.124.14  gid:1020  game:AOE I         ml:1  
name: AOE: The Rise of Rome Europe 1v1 Room 01  id:65551   sid:1   server:203.117.124.14  gid:1020  game:AOE I         ml:1  
name: North America Room                        id:65552   sid:1   server:203.117.124.14  gid:1019  game:unknown       ml:1  
name: Philippines Room                          id:65553   sid:3   server:203.117.124.12  gid:1019  game:unknown       ml:3  
name: International Room                        id:65554   sid:1   server:203.117.124.14  gid:1019  game:unknown       ml:5  
name: Oceania Room                              id:65555   sid:1   server:203.117.124.14  gid:1019  game:unknown       ml:1  
name: ASEAN Room                                id:65556   sid:1   server:203.117.124.14  gid:1019  game:unknown       ml:1  
name: Korea Room                                id:65557   sid:1   server:203.117.124.14  gid:1019  game:unknown       ml:1  
name: South America Room                        id:65558   sid:1   server:203.117.124.14  gid:1019  game:unknown       ml:1  
name: Europe Room                               id:65559   sid:1   server:203.117.124.14  gid:1019  game:unknown       ml:1  
name: 1.7 Taiwan Room                           id:65560   sid:6   server:203.117.124.16  gid:1018  game:COD4          ml:1  
name: 1.7 Malaysia Room 01                      id:65561   sid:6   server:203.117.124.16  gid:1018  game:COD4          ml:5  
name: 1.7 North America Room                    id:65562   sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: 1.7 Philippines Room                      id:65563   sid:3   server:203.117.124.12  gid:1018  game:COD4          ml:1  
name: 1.7 Mongolia Room                         id:65564   sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: 1.7 India Room                            id:65565   sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: 1.7 International Room                    id:65566   sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: 1.7 Oceania Room                          id:65567   sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: 1.7 ASEAN Room                            id:65568   sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: 1.7 Korea Room                            id:65569   sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: South America Room 01                     id:65570   sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: 1.7 Europe Room 01                        id:65571   sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: Malaysia Starcraft Room                   id:65572   sid:6   server:203.117.124.16  gid:1006  game:Starcraft     ml:1  
